Species	Fruiting_body_type3	Fruiting_body_type1	Fruiting_body_type2	corrected
Crepidotus_sphaerosporus	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_lanuginosus	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_cesatii_var._subsphaerosporus	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_cesatii_G0306_DB3782	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_subfulviceps	NA	Pileate-stipitate	Pileate-sessile	Pileate-stipitate
Neopaxillus_sp._EE2011_HQ452478	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Neopaxillus_dominicanus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Neopaxillus_echinospermus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Neopaxillus_plumbeus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Crepidotus_nyssicola	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Crepidotus_applanatus	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_brunnescens	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_distortus	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_nephrodes	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_crocophyllus_G0812_NL3531	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_mollis_G0566_NL3003	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_malachius	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_sinuosus	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Pellidiscus_pallidus_AY571017	NA	Cyphelloid	Cyphelloid	Cyphelloid
Simocybe_serrulata	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Simocybe_tabacina_G1736_PERTH_6672663	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Simocybe_sumptuosa	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Simocybe_centunculus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Simocybe_haustellaris	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Simocybe_laevigata_G0399_DB3742	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Simocybe_americana	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Simocybe_amara	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Pleuroflammula_flammea	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Pleuroflammula_praestans	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Panaeolus_cyanescens	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Panaeolus_bisporus_G0214_NL0429	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Panaeolus_guttulatus_G0217_NL0035	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Panaeolus_semiovatus_Anellaria_Genbanki	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Anellaria_semiovatus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Panaeolus_paludosus_2082	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Panaeolus_acuminatus_G0449_NL3022	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Panaeolus_papilionaceus_G0406_DB4552	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Panaeolus_sphinctrinus_G0435_NL3955	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
GAleropsis_desertorum_strain_NL1863_JX9	Gasteroid	Pileate-stipitate	Pileate-stipitate	Gasteroid
Panaeolus_alcis_2261_H6043061	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Panaeolus_fimicola_G0216_NL0232	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Panaeolus_cinctulus_G0215_NL0454	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Panaeolopsis_nirimbii_G1701_PERTH_76803	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Panaeolus_subbalteatus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Panaeolus_olivaceus_G0424_NL0230	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Panaeolus_foenisecii	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Flammulaster_limulatus_G0563_NL1457	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
